,Compound,Date,Negative,Nuetral,Postitive,Target,Tweet Ago
122,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,@CBS,22
123,0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.622,0.378,@CBS,23
124,0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,@CBS,24
125,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.062,0.78,0.157,@CBS,25
126,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,@CBS,26
127,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,@CBS,27
128,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,@CBS,28
129,0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,@CBS,29
130,0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,@CBS,30
131,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,@CBS,31
132,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,@CBS,32
133,0.0,Sat Mar 24 20:00:02 +0000 2018,0.0,1.0,0.0,@CBS,33
134,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.0,0.806,0.194,@CBS,34
135,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,@CBS,35
136,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.0,0.645,0.355,@CBS,36
137,0.0,Thu Mar 22 22:10:29 +0000 2018,0.0,1.0,0.0,@CBS,37
138,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.066,0.623,0.311,@CBS,38
139,0.636,Thu Mar 22 00:23:38 +0000 2018,0.0,0.802,0.198,@CBS,39
140,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,@CBS,40
141,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,@CBS,41
142,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,@CBS,42
143,0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.622,0.378,@CBS,43
144,0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,@CBS,44
145,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.062,0.78,0.157,@CBS,45
146,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,@CBS,46
147,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,@CBS,47
148,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,@CBS,48
149,0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,@CBS,49
150,0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,@CBS,50
151,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,@CBS,51
152,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,@CBS,52
153,0.0,Sat Mar 24 20:00:02 +0000 2018,0.0,1.0,0.0,@CBS,53
154,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.0,0.806,0.194,@CBS,54
155,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,@CBS,55
156,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.0,0.645,0.355,@CBS,56
157,0.0,Thu Mar 22 22:10:29 +0000 2018,0.0,1.0,0.0,@CBS,57
158,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.066,0.623,0.311,@CBS,58
159,0.636,Thu Mar 22 00:23:38 +0000 2018,0.0,0.802,0.198,@CBS,59
160,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,@CBS,60
161,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,@CBS,61
162,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,@CBS,62
163,0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.622,0.378,@CBS,63
164,0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,@CBS,64
165,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.062,0.78,0.157,@CBS,65
166,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,@CBS,66
167,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,@CBS,67
168,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,@CBS,68
169,0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,@CBS,69
170,0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,@CBS,70
171,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,@CBS,71
172,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,@CBS,72
173,0.0,Sat Mar 24 20:00:02 +0000 2018,0.0,1.0,0.0,@CBS,73
174,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.0,0.806,0.194,@CBS,74
175,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,@CBS,75
176,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.0,0.645,0.355,@CBS,76
177,0.0,Thu Mar 22 22:10:29 +0000 2018,0.0,1.0,0.0,@CBS,77
178,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.066,0.623,0.311,@CBS,78
179,0.636,Thu Mar 22 00:23:38 +0000 2018,0.0,0.802,0.198,@CBS,79
180,0.508,Mon Mar 26 22:14:25 +0000 2018,0.0,0.88,0.12,@CBS,80
181,0.0,Mon Mar 26 20:42:48 +0000 2018,0.0,1.0,0.0,@CBS,81
182,0.7959,Mon Mar 26 16:59:19 +0000 2018,0.0,0.786,0.214,@CBS,82
183,0.807,Mon Mar 26 16:05:18 +0000 2018,0.0,0.622,0.378,@CBS,83
184,0.0,Sun Mar 25 23:57:34 +0000 2018,0.0,1.0,0.0,@CBS,84
185,0.5319,Sun Mar 25 17:15:25 +0000 2018,0.062,0.78,0.157,@CBS,85
186,0.5399,Sat Mar 24 22:46:53 +0000 2018,0.0,0.801,0.199,@CBS,86
187,-0.34,Sat Mar 24 22:46:43 +0000 2018,0.185,0.7,0.115,@CBS,87
188,0.7003,Sat Mar 24 22:25:03 +0000 2018,0.0,0.791,0.209,@CBS,88
189,0.0,Sat Mar 24 22:21:37 +0000 2018,0.0,1.0,0.0,@CBS,89
190,0.0,Sat Mar 24 22:21:34 +0000 2018,0.0,1.0,0.0,@CBS,90
191,0.7184,Sat Mar 24 22:21:26 +0000 2018,0.0,0.667,0.333,@CBS,91
192,0.9451,Sat Mar 24 22:21:23 +0000 2018,0.0,0.58,0.42,@CBS,92
193,0.0,Sat Mar 24 20:00:02 +0000 2018,0.0,1.0,0.0,@CBS,93
194,0.6996,Fri Mar 23 22:33:52 +0000 2018,0.0,0.806,0.194,@CBS,94
195,0.4939,Fri Mar 23 22:33:04 +0000 2018,0.0,0.686,0.314,@CBS,95
196,0.8997,Fri Mar 23 22:32:48 +0000 2018,0.0,0.645,0.355,@CBS,96
197,0.0,Thu Mar 22 22:10:29 +0000 2018,0.0,1.0,0.0,@CBS,97
198,0.7081,Thu Mar 22 20:52:02 +0000 2018,0.066,0.623,0.311,@CBS,98
199,0.636,Thu Mar 22 00:23:38 +0000 2018,0.0,0.802,0.198,@CBS,99
200,-0.8658,Mon Mar 26 23:45:04 +0000 2018,0.447,0.553,0.0,@CNN,0
201,-0.5859,Mon Mar 26 23:38:28 +0000 2018,0.202,0.798,0.0,@CNN,1
202,0.0,Mon Mar 26 23:30:14 +0000 2018,0.0,1.0,0.0,@CNN,2
203,0.0,Mon Mar 26 23:15:03 +0000 2018,0.0,1.0,0.0,@CNN,3
204,0.0,Mon Mar 26 23:10:09 +0000 2018,0.0,1.0,0.0,@CNN,4
205,0.2263,Mon Mar 26 23:05:01 +0000 2018,0.0,0.888,0.112,@CNN,5
206,-0.9062,Mon Mar 26 23:00:28 +0000 2018,0.617,0.383,0.0,@CNN,6
207,0.0,Mon Mar 26 22:55:04 +0000 2018,0.0,1.0,0.0,@CNN,7
208,0.0,Mon Mar 26 22:45:07 +0000 2018,0.0,1.0,0.0,@CNN,8
209,0.4767,Mon Mar 26 22:41:27 +0000 2018,0.0,0.866,0.134,@CNN,9
